arch,n,noise,Ld,cellPx,gapPx,pitch_um,cells,bits_per_mm2,G0,s,Ia,seed,t,ber,on_min,on_mean,off_max,lyapunov_at_end,intensity_residual
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.6,0.05,3,1,0,1.379897030031656,1.9688165732340983,0.0019850176810115023,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.6,0.05,3,3,0,0.943316898582759,2.091349300652269,0.005913601623531045,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.6,0.05,3,10,0,0.5758346328650572,2.2312672946334398,0.1373163867755486,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.6,0.05,3,30,0.1875,0.5332839729855395,2.2691918313076864,2.668306956736959,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.6,0.05,3,100,0.25,1.2305565695885166,2.3588370511484116,3.0834051217588216,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.6,0.05,3,300,0.25,1.2300884909369285,2.366950232637892,3.1213498283468595,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.6,0.05,3,1000,0.25,1.2288097028102516,2.3735190559737935,3.07042735821898,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.6,0.05,3,3000,0.25,1.2301924850486001,2.3673184871091455,3.015759854177103,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,1,1,0,0.846151328095741,1.6836555018423702,0.006761274985328147,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,1,3,0.0625,0.24312307123725146,1.500977732599905,0.006711018521454429,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,1,10,0.125,0.00010863160470038392,1.292790595063988,0.0033432111921994543,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,1,30,0.125,0.00005166499105868409,1.1962348517023438,0.002711384326570625,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,1,100,0.125,0.00009531745905362912,1.1403346361464572,0.002032449792114833,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,1,300,0.125,0.00006711486708586255,1.130937122082298,0.0018037636501727569,NaN,NaN
