arch,n,noise,Ld,cellPx,gapPx,pitch_um,cells,bits_per_mm2,G0,s,Ia,seed,t,ber,on_min,on_mean,off_max,lyapunov_at_end,intensity_residual
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,3,30,0,1.4100375444105397,2.0659166134765354,0.005429780198580778,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,3,100,0,1.438205453853367,2.166045615048688,0.007064182909076179,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,3,300,0.0625,1.5165190225343068,2.20340179936726,0.577976961021602,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,3,1000,0.0625,1.4688480157993502,2.21855082045821,2.8752846696526175,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,3,3000,0.0625,1.50355341708597,2.2205700360194394,2.747046292891254,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,3,10000,0.0625,1.5243476091206771,2.2224228543447198,2.7845649568479582,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,3,30000,0.0625,1.483989948712727,2.201124094685807,2.7477070590500805,NaN,NaN
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,1,1,0,1.6167849129791076,1.7182744634535319,0.0007705817454651818,-0.0005770988183740835,0.000038032220450995096
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,1,3,0,1.3321138494038216,1.513980318533745,0.0009750051592614787,-0.0005770988183740835,0.000038032220450995096
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,1,10,0,0.9082115018916679,1.1454714025396926,0.0003769381207145667,-0.0005770988183740835,0.000038032220450995096
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,1,30,0,0.7602164801159829,1.0185066202377189,0.0002272621616253112,-0.0005770988183740835,0.000038032220450995096
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,1,100,0,0.7465464519340635,1.026319228091086,0.0002744657312377273,-0.0005770988183740835,0.000038032220450995096
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,1,300,0,0.7481574924657698,1.0788139501823746,0.0002691299770213191,-0.0005770988183740835,0.000038032220450995096
