noise,Ld,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,3,0,1.414461814234606,1.522850951963613,0.004160537640536261,0,102.6924100253071,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,10,0,1.042722756255469,1.2216343921944137,0.002618292092678655,0,82.1656363585324,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,30,0,0.6663766209054971,0.9653503296031477,0.0021503871617258442,0,64.7947513560651,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,100,0.3333333333333333,0.0026135437621866917,0.6151681210410748,0.002362315069217333,0,41.08325857499342,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,300,0.3333333333333333,0.002601083586092063,0.6151756066163089,0.0023681557006844465,0,41.08464612319013,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,1000,0.3333333333333333,0.0026007146155633642,0.6153368118717306,0.002373811412892075,0,41.09530378953832,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,3000,0.3333333333333333,0.0026007119331809244,0.6153378271311482,0.0023738491984871763,0,41.09537095645354,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,1,0,1.8612730341949717,1.9019187817846577,0.004518866038367039,0,56.40334504414256,-0.0024641718607656825,1.9999979130240886
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,3,0,1.8759720774052093,1.9662797205198739,0.008488525555406582,0,56.975593426847745,-0.0024641718607656825,1.9999979130240886
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,10,0,1.986057433419423,2.133200023232195,0.008013235551413374,0,61.66698884462133,-0.0024641718607656825,1.9999979130240886
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,30,0,2.03148307903726,2.1896973206931434,0.008062979727743733,0,63.28596434655224,-0.0024641718607656825,1.9999979130240886
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,100,0,2.0439947873831597,2.195503650482319,0.007906093648059095,0,63.40603415042218,-0.0024641718607656825,1.9999979130240886
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,300,0,2.06563838090868,2.2055230678446125,0.008455171620004224,0,63.577109139655825,-0.0024641718607656825,1.9999979130240886
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,1000,0,2.0641574935577904,2.2026914991684854,0.008736688930236276,0,63.42124241284498,-0.0024641718607656825,1.9999979130240886
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,3000,0,2.061812911198289,2.2006115661258305,0.00867633671811743,0,63.358152254501256,-0.0024641718607656825,1.9999979130240886
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,2,1,0,1.8352700661399848,1.883638851589453,0.002936859252502744,0,74.79081559941015,-0.0011212664932828548,1.9999985772617017
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,2,3,0,1.825866856760165,1.9288185220186365,0.005596087650400066,0,74.6343085861766,-0.0011212664932828548,1.9999985772617017
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,2,10,0,1.8882918855228779,2.0602795454998004,0.005328033155374039,0,79.52006051922677,-0.0011212664932828548,1.9999985772617017
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,2,30,0,1.916366251194387,2.1066649614571533,0.005494278280051762,0,81.27583335377852,-0.0011212664932828548,1.9999985772617017
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,2,100,0,1.9266602109120936,2.117552726854785,0.005880806607156678,0,81.59502249276588,-0.0011212664932828548,1.9999985772617017
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,2,300,0,1.9228352161026503,2.1137264686302286,0.0062848990360259305,0,81.28464413928849,-0.0011212664932828548,1.9999985772617017
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,2,1000,0,1.9072506387552188,2.094022905809738,0.006306340722167512,0,80.46933415378017,-0.0011212664932828548,1.9999985772617017
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,2,3000,0,1.905722505817359,2.09205632133914,0.006315373397167694,0,80.39342751168947,-0.0011212664932828548,1.9999985772617017
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,3,1,0,1.8523696428850367,1.9117971552077315,0.003699411389765669,0,132.0669091571524,-0.0007554495656102453,1.9999994050425527
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,3,3,0,1.8512155806813573,1.9833698870290952,0.005547378610930678,0,133.7737684393859,-0.0007554495656102453,1.9999994050425527
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,3,10,0,1.9353948093480484,2.15699063608582,0.0047976072346774075,0,145.134468823747,-0.0007554495656102453,1.9999994050425527
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,3,30,0,1.9800450478618987,2.218468301377766,0.0048283550073266795,0,149.13491157056686,-0.0007554495656102453,1.9999994050425527
